annotated_event,annotated_length,sem_max_overlap,max_coverage,epoch,run,tag,is_train
eat_a_granola_bar,50.5445,1,0.9866718106487022,1,1.2.3_kinect,dec_17_uncertainty,True
drink_sport_drink,23.853499999999997,1,1.0,1,1.2.3_kinect,dec_17_uncertainty,True
clean_a_surface,68.8625,1,0.8567023658256189,1,1.2.3_kinect,dec_17_uncertainty,True
bicep_curls,124.94649999999996,1,1.0,1,1.2.3_kinect,dec_17_uncertainty,True
push_ups,56.24950000000001,1,1.0,1,1.2.3_kinect,dec_17_uncertainty,True
perform_jumping_jacks,86.9670000000001,3,0.854471619503183,1,1.2.3_kinect,dec_17_uncertainty,True
do_stair_steps,139.48650000000004,3,1.0,1,1.2.3_kinect,dec_17_uncertainty,True
shave_face,214.673,2,1.0,1,2.4.1_kinect,dec_17_uncertainty,False
wash_face,107.59200000000001,2,1.0,1,2.4.1_kinect,dec_17_uncertainty,False
put_objects_in_drawers,25.791999999999973,2,1.0,1,2.4.1_kinect,dec_17_uncertainty,False
comb_hair,42.029499999999985,2,1.0,1,2.4.1_kinect,dec_17_uncertainty,False
floss_teeth,177.23699999999997,2,1.0,1,2.4.1_kinect,dec_17_uncertainty,False
use_mouthwash,56.86349999999993,2,0.8978665283236769,1,2.4.1_kinect,dec_17_uncertainty,False
eat_a_granola_bar,50.5445,1,0.9998615081759636,2,1.2.3_kinect,dec_17_uncertainty,True
drink_sport_drink,23.853499999999997,1,1.0,2,1.2.3_kinect,dec_17_uncertainty,True
clean_a_surface,68.8625,1,1.0,2,1.2.3_kinect,dec_17_uncertainty,True
bicep_curls,124.94649999999996,1,0.9874332881139797,2,1.2.3_kinect,dec_17_uncertainty,True
push_ups,56.24950000000001,3,1.0,2,1.2.3_kinect,dec_17_uncertainty,True
perform_jumping_jacks,86.9670000000001,3,1.0,2,1.2.3_kinect,dec_17_uncertainty,True
do_stair_steps,139.48650000000004,3,1.0,2,1.2.3_kinect,dec_17_uncertainty,True
eat_a_granola_bar,50.5445,1,0.9998615081759636,3,1.2.3_kinect,dec_17_uncertainty,True
drink_sport_drink,23.853499999999997,1,1.0,3,1.2.3_kinect,dec_17_uncertainty,True
clean_a_surface,68.8625,1,1.0,3,1.2.3_kinect,dec_17_uncertainty,True
bicep_curls,124.94649999999996,3,1.0,3,1.2.3_kinect,dec_17_uncertainty,True
push_ups,56.24950000000001,3,1.0,3,1.2.3_kinect,dec_17_uncertainty,True
perform_jumping_jacks,86.9670000000001,3,1.0,3,1.2.3_kinect,dec_17_uncertainty,True
do_stair_steps,139.48650000000004,3,1.0,3,1.2.3_kinect,dec_17_uncertainty,True
eat_a_granola_bar,50.5445,3,0.993266659412333,4,1.2.3_kinect,dec_17_uncertainty,True
drink_sport_drink,23.853499999999997,3,0.7357480733085993,4,1.2.3_kinect,dec_17_uncertainty,True
clean_a_surface,68.8625,4,1.0,4,1.2.3_kinect,dec_17_uncertainty,True
bicep_curls,124.94649999999996,4,0.9874332881139797,4,1.2.3_kinect,dec_17_uncertainty,True
push_ups,56.24950000000001,3,1.0,4,1.2.3_kinect,dec_17_uncertainty,True
perform_jumping_jacks,86.9670000000001,3,1.0,4,1.2.3_kinect,dec_17_uncertainty,True
do_stair_steps,139.48650000000004,3,1.0,4,1.2.3_kinect,dec_17_uncertainty,True
eat_a_granola_bar,50.5445,1,0.9998615081759636,5,1.2.3_kinect,dec_17_uncertainty,True
drink_sport_drink,23.853499999999997,1,1.0,5,1.2.3_kinect,dec_17_uncertainty,True
clean_a_surface,68.8625,4,1.0,5,1.2.3_kinect,dec_17_uncertainty,True
bicep_curls,124.94649999999996,5,0.9283973540675416,5,1.2.3_kinect,dec_17_uncertainty,True
push_ups,56.24950000000001,3,0.9772472051603422,5,1.2.3_kinect,dec_17_uncertainty,True
perform_jumping_jacks,86.9670000000001,3,1.0,5,1.2.3_kinect,dec_17_uncertainty,True
do_stair_steps,139.48650000000004,3,1.0,5,1.2.3_kinect,dec_17_uncertainty,True
eat_a_granola_bar,50.5445,3,0.9998615081759636,6,1.2.3_kinect,dec_17_uncertainty,True
drink_sport_drink,23.853499999999997,3,0.7357480733085993,6,1.2.3_kinect,dec_17_uncertainty,True
clean_a_surface,68.8625,1,1.0,6,1.2.3_kinect,dec_17_uncertainty,True
bicep_curls,124.94649999999996,3,1.0,6,1.2.3_kinect,dec_17_uncertainty,True
push_ups,56.24950000000001,3,0.7579859969125646,6,1.2.3_kinect,dec_17_uncertainty,True
perform_jumping_jacks,86.9670000000001,3,1.0,6,1.2.3_kinect,dec_17_uncertainty,True
do_stair_steps,139.48650000000004,3,1.0,6,1.2.3_kinect,dec_17_uncertainty,True
eat_a_granola_bar,50.5445,3,0.9998615081759636,7,1.2.3_kinect,dec_17_uncertainty,True
drink_sport_drink,23.853499999999997,3,0.7357480733085993,7,1.2.3_kinect,dec_17_uncertainty,True
clean_a_surface,68.8625,1,1.0,7,1.2.3_kinect,dec_17_uncertainty,True
bicep_curls,124.94649999999996,1,1.0,7,1.2.3_kinect,dec_17_uncertainty,True
push_ups,56.24950000000001,3,0.9772472051603422,7,1.2.3_kinect,dec_17_uncertainty,True
perform_jumping_jacks,86.9670000000001,3,1.0,7,1.2.3_kinect,dec_17_uncertainty,True
do_stair_steps,139.48650000000004,3,1.0,7,1.2.3_kinect,dec_17_uncertainty,True
eat_a_granola_bar,50.5445,3,0.9998615081759636,8,1.2.3_kinect,dec_17_uncertainty,True
drink_sport_drink,23.853499999999997,3,0.7357480733085993,8,1.2.3_kinect,dec_17_uncertainty,True
clean_a_surface,68.8625,4,1.0,8,1.2.3_kinect,dec_17_uncertainty,True
bicep_curls,124.94649999999996,3,1.0,8,1.2.3_kinect,dec_17_uncertainty,True
push_ups,56.24950000000001,3,0.9772472051603422,8,1.2.3_kinect,dec_17_uncertainty,True
perform_jumping_jacks,86.9670000000001,3,1.0,8,1.2.3_kinect,dec_17_uncertainty,True
do_stair_steps,139.48650000000004,3,1.0,8,1.2.3_kinect,dec_17_uncertainty,True
eat_a_granola_bar,50.5445,3,0.993266659412333,9,1.2.3_kinect,dec_17_uncertainty,True
drink_sport_drink,23.853499999999997,3,0.7357480733085993,9,1.2.3_kinect,dec_17_uncertainty,True
clean_a_surface,68.8625,4,1.0,9,1.2.3_kinect,dec_17_uncertainty,True
bicep_curls,124.94649999999996,3,1.0,9,1.2.3_kinect,dec_17_uncertainty,True
push_ups,56.24950000000001,3,0.9772472051603422,9,1.2.3_kinect,dec_17_uncertainty,True
perform_jumping_jacks,86.9670000000001,3,0.3142954607303148,9,1.2.3_kinect,dec_17_uncertainty,True
do_stair_steps,139.48650000000004,3,1.0,9,1.2.3_kinect,dec_17_uncertainty,True
eat_a_granola_bar,50.5445,3,0.993266659412333,10,1.2.3_kinect,dec_17_uncertainty,True
drink_sport_drink,23.853499999999997,3,0.7357480733085993,10,1.2.3_kinect,dec_17_uncertainty,True
clean_a_surface,68.8625,4,0.9873975918194471,10,1.2.3_kinect,dec_17_uncertainty,True
bicep_curls,124.94649999999996,4,0.9340771183399834,10,1.2.3_kinect,dec_17_uncertainty,True
push_ups,56.24950000000001,3,0.9772472051603422,10,1.2.3_kinect,dec_17_uncertainty,True
perform_jumping_jacks,86.9670000000001,3,0.6936290010387074,10,1.2.3_kinect,dec_17_uncertainty,True
do_stair_steps,139.48650000000004,3,1.0,10,1.2.3_kinect,dec_17_uncertainty,True
eat_a_granola_bar,50.5445,3,0.993266659412333,11,1.2.3_kinect,dec_17_uncertainty,True
drink_sport_drink,23.853499999999997,3,0.7357480733085993,11,1.2.3_kinect,dec_17_uncertainty,True
clean_a_surface,68.8625,4,1.0,11,1.2.3_kinect,dec_17_uncertainty,True
bicep_curls,124.94649999999996,4,0.5445770789898077,11,1.2.3_kinect,dec_17_uncertainty,True
push_ups,56.24950000000001,3,0.9772472051603422,11,1.2.3_kinect,dec_17_uncertainty,True
perform_jumping_jacks,86.9670000000001,3,0.6936290010387074,11,1.2.3_kinect,dec_17_uncertainty,True
do_stair_steps,139.48650000000004,3,1.0,11,1.2.3_kinect,dec_17_uncertainty,True
shave_face,214.673,2,1.0,11,2.4.1_kinect,dec_17_uncertainty,False
wash_face,107.59200000000001,2,1.0,11,2.4.1_kinect,dec_17_uncertainty,False
put_objects_in_drawers,25.791999999999973,2,1.0,11,2.4.1_kinect,dec_17_uncertainty,False
comb_hair,42.029499999999985,2,1.0,11,2.4.1_kinect,dec_17_uncertainty,False
floss_teeth,177.23699999999997,2,1.0,11,2.4.1_kinect,dec_17_uncertainty,False
use_mouthwash,56.86349999999993,2,0.8978665283236769,11,2.4.1_kinect,dec_17_uncertainty,False
